id,name,phone
1,Fat Brain Toys,988828596
2,Basic Fun!,923453219
3,Tuttle Publishing,934534435
4,Schleich,894644589
5,Kangaroo Manufacturing,867497508.5
6,Rich Frog Industries,840350428
7,McFarlane Toys,813203347.5
8,Plan Toys,786056267
9,Tuttle Publishing,758909186.5
10,Tedco Toys,731762106
11,Super Impulse,704615025.5
12,National Geographic,677467945
13,PopSockets,650320864.5
14,Tedco Toys,623173784
15,LeapFrog,596026703.5
16,SmartGames,568879623
17,Fisher-Price,541732542.5
18,Kangaroo Manufacturing,514585462
19,RoosterFin Games,487438381.5
20,Tangle Creations,460291301
21,McNeill Designs,433144220.5
22,Duncan Toys,405997140
23,Blue Orange Games,378850059.5
24,Radio Flyer,351702979
25,Schleich,324555898.5
26,McFarlane Toys,297408818
27,Crayola,270261737.5
28,PlaSmart,243114657
29,MindWare,215967576.5
30,Small World Toys,188820496
31,Tedco Toys,161673415.5
32,Manhattan Toy,134526335
33,Schylling,107379254.5
34,T.S. Shure,80232174
35,Schleich,53085093.5
36,Micro Kickboard,25938013
37,B. Toys,-1209067.5
38,Anki,-28356148
39,Anki,-55503228.5
40,MindWare,-82650309
41,Magic Cabin,-109797389.5
42,Basic Fun!,-136944470
43,WowToyz,-164091550.5
44,PicassoTiles,-191238631
45,Anki,-218385711.5
46,Play Visions,-245532792
47,Winning Moves Games,-272679872.5
48,Schleich,-299826953
49,Ideal Toy Corp.,-326974033.5
50,Cepia,-354121114
51,Tedco Toys,-381268194.5
52,Fat Brain Toys,-408415275
53,Playmobil,-435562355.5
54,Edushape,-462709436
55,Iwako,-489856516.5
56,RoosterFin Games,-517003597
57,McNeill Designs,-544150677.5
58,LeapFrog,-571297758
59,Learning Resources,-598444838.5
60,Two Bros Bows,-625591919
61,LeapFrog,-652738999.5
62,Mudpuppy,-679886080
63,PlaSmart,-707033160.5
64,Geospace,-734180241
65,Diggin,-761327321.5
66,Manhattan Toy,-788474402
67,Mudpuppy,-815621482.5
68,LeapFrog,-842768563
69,Crocodile Creek,-869915643.5
70,Patch Products,-897062724
71,HearthSong,-924209804.5
72,Hexbug,-951356885
73,Be Amazing! Toys,-978503965.5
74,Toy State,-1005651046
75,Blue Orange Games,-1032798127
76,Tolo Toys,-1059945207
77,Bruder,-1087092288
78,Klutz,-1114239368
79,Anki,-1141386449
80,Mattel,-1168533529
81,SmartLab Toys,-1195680610
82,Crayola,-1222827690
83,Kid Galaxy,-1249974771
84,Cepia,-1277121851
85,Barbie,-1304268932
86,Lakeshore Learning Materials,-1331416012
87,Battat,-1358563093
88,Duncan Toys,-1385710173
89,T.S. Shure,-1412857254
90,Learning Resources,-1440004334
91,Toysmith,-1467151415
92,EPOCH Co.,-1494298495
93,Diggin,-1521445576
94,National Geographic,-1548592656
95,HearthSong,-1575739737
96,Crayola,-1602886817
97,Little Live Pets,-1630033898
98,Orb Factory,-1657180978
99,Play-Doh,-1684328059
100,Green Toys,-1711475139
101,Manhattan Toy,-1738622220
102,Safari Ltd.,-1765769300
103,Uncle Milton,-1792916381
104,Micro Kickboard,-1820063461
105,RoosterFin Games,-1847210542
106,Green Toys,-1874357622
107,SmartLab Toys,-1901504703
108,Siku,-1928651783
109,Meffert's,-1955798864
110,Nerf Dog,-1982945944
111,WowWee,-2010093025
