id,name,description,category,price,image,quantity,age,gender,company,holiday,cognitive_development,motor_skills_development,social_development,emotional_development,language_and_literacy
1,ABC Building Blocks,Colorful building blocks for creative play,Educational,19.99,abc_blocks.jpg,50,3 to 6,Unisex,Fat Brain Toys,Christmas,4,3,2,1,4
2,Plush Teddy Bear,Soft and huggable teddy bear for comfort,Stuffed Animals,14.95,teddy_bear.jpg,30,0 to 3,Unisex,Basic Fun!,Thanksgiving,2,1,3,4,2
3,Dino Adventure Set,Exciting dinosaur adventure set with figurines,Action Figures,29.99,dino_set.jpg,20,4 to 8,Unisex,Tuttle Publishing,Easter,5,4,3,2,1
4,Interactive Learning Tablet,Tablet for early education and interactive learning,Educational,39.99,learning_tablet.jpg,15,2 to 5,Unisex,Schleich,Christmas,4,3,2,1,5
5,Artistic Coloring Kit,Complete coloring kit with various art supplies,Arts and Crafts,16.49,coloring_kit.jpg,40,5 to 10,Unisex,Kangaroo Manufacturing,Christmas,3,5,2,1,4
6,Robot Building Kit,DIY robot building kit for STEM education,Educational,24.99,robot_kit.jpg,25,8 to 12,Unisex,Rich Frog Industries,New Year,5,5,3,2,1
7,Puzzle Play Mat,Soft and safe puzzle play mat for infants,Infant Toys,22.95,puzzle_mat.jpg,35,0 to 2,Unisex,McFarlane Toys,Easter,2,1,4,3,2
8,Adventure Play Tent,Imaginative play tent for indoor adventures,Outdoor Play,34.99,play_tent.jpg,18,3 to 8,Unisex,Plan Toys,Thanksgiving,4,3,5,2,1
9,Musical Instruments Set,Introduction to musical instruments for kids,Musical Toys,27.5,music_set.jpg,22,3 to 8,Unisex,Tuttle Publishing,Thanksgiving,3,4,2,1,5
10,Remote Control Car,High-speed remote control car for racing,Remote Control,32.99,rc_car.jpg,12,6 to 12,Unisex,Tedco Toys,Thanksgiving,4,5,3,2,1
11,Soft Baby Rattle,Gentle rattle for sensory stimulation,Infant Toys,9.95,baby_rattle.jpg,50,0 to 1,Unisex,Super Impulse,Christmas,1,1,3,4,2
12,Creative Play Dough Kit,Play dough set for imaginative sculpting,Arts and Crafts,18.75,play_dough_kit.jpg,28,4 to 8,Unisex,National Geographic,Thanksgiving,3,4,2,1,5
13,Outdoor Sports Ball Set,Assorted sports balls for outdoor play,Outdoor Play,26.5,sports_ball_set.jpg,15,3 to 10,Unisex,PopSockets,New Year,4,5,3,2,1
14,Wooden Alphabet Blocks,Classic wooden blocks with letters and numbers,Educational,12.99,alphabet_blocks.jpg,40,2 to 5,Unisex,Tedco Toys,New Year,3,2,4,1,5
15,Toy Kitchen Playset,Realistic kitchen playset for pretend cooking,Pretend Play,49.99,kitchen_playset.jpg,10,3 to 8,Unisex,LeapFrog,New Year,4,3,5,2,1
16,Science Experiment Kit,Hands-on science experiments for curious minds,Educational,36.75,science_kit.jpg,20,8 to 14,Unisex,SmartGames,Christmas,5,4,3,2,1
17,Soft Dollhouse,Adorable soft dollhouse for imaginative play,Dolls and Accessories,28.95,dollhouse.jpg,16,3 to 7,Unisex,Fisher-Price,Christmas,3,2,4,1,5
18,Construction Vehicle Set,Durable construction vehicles for sandbox fun,Vehicle Toys,19.5,construction_vehicles.jpg,25,2 to 6,Unisex,Kangaroo Manufacturing,New Year,2,5,3,1,4
19,Chess and Checkers Set,Classic chess and checkers set for strategic play,Board Games,21.99,chess_set.jpg,18,6 to 14,Unisex,RoosterFin Games,Christmas,5,4,3,2,1
20,Stuffed Animal Zoo,Organizer for stuffed animals with zoo theme,Storage and Organization,31.25,stuffed_animal_zoo.jpg,12,Any,Unisex,Tangle Creations,Thanksgiving,2,1,4,3,5
21,Remote Control Helicopter,Mini helicopter with remote control,Remote Control,45.5,helicopter_rc.jpg,15,8 to 14,Unisex,McNeill Designs,Christmas,4,5,3,2,1
22,Interactive Storybook,Touch-sensitive storybook for early readers,Books and Learning,14.99,storybook.jpg,30,2 to 5,Unisex,Duncan Toys,Christmas,3,2,4,1,5
